zip,totkbtu,custelec,custgas,avgkbtu
92304,0,0,0,0
92365,0,0,0,0
93101,0,0,0,0
93105,0,0,0,0
93110,0,0,0,0
93111,0,0,0,0
93117,0,0,0,0
93201,8291002.584,3670,0,27109.54523
93203,115425104.8,56723,0,24418.68833
93204,126680289.5,27732,27069,54816.22219
93206,16696103.77,6244,0,32087.32307
93210,110888253.1,51628,0,25773.97995
93212,112434386.6,51438,0,26229.88139
93219,3817319.803,1527,0,29998.58392
93224,5711662.359,2537,0,27016.14044
93230,36217187.84,10807,0,40215.25438
93234,76978873.15,17868,16851,51698.37015
93239,19666836.46,4506,3911,52375.0638
93240,0,0,0,0
93241,81324690.24,40910,0,23854.71237
93242,31297104.81,11574,0,32449.04594
93243,10207889.16,5223,0,23452.93316
93245,300088858.8,124884,0,28835.28959
93249,12969857.44,7110,0,21890.05475
93250,60036048.56,29447,0,24465.39826
93251,0,0,0,0
93252,26427761.07,6446,4555,49198.43823
93254,7559558.842,3594,0,25240.59714
93256,0,0,0,0
93263,146377791.5,68450,0,25661.55585
93266,10798834.56,4460,0,29055.16024
93268,303551280.5,64878,56547,56145.61741
93274,0,0,0,0
93276,0,0,0,0
93277,0,0,0,0
93280,147722584.7,72245,0,24536.93705
93286,12094168.82,4135,0,35097.95064
93287,0,0,0,0
93291,0,0,0,0
93292,5526314.825,2007,0,33042.24111
93301,309501011,68382,59492,54312.7158
93304,970885950,184334,177812,63203.92006
93305,647718559.5,127895,126172,60773.46819
93306,1360262171,261851,246178,62337.53565
93307,1259235752,262320,238568,57604.56324
93308,735943553.4,229544,70387,38473.33252
93309,1010027849,269501,146607,44973.24386
93311,789171327.8,186150,108202,50873.2524
93312,571662903.8,232625,0,29489.32766
93313,922040576.4,178028,170878,62150.26242
93314,325720091.4,107798,14360,36258.93891
93401,182490888.5,142462,0,15371.75291
93402,86610913.13,70712,0,14698.08459
93405,118197405.1,94449,0,15017.29887
93420,210612483.7,136190,0,18557.52849
93422,267744690.6,148691,0,21608.1423
